Area Unit Code (2013 Areas),Area Unit Description,Separate House 2001,Separate House 2006,Separate House 2013
580900,Lake Tennyson,..C,..C,..C
581400,Kaikoura Township,624,705,714
581500,Kaikoura Rural,408,474,552
585502,Hanmer Springs,192,255,291
585504,Culverden,135,153,162
585505,Waiau,84,105,111
585506,Amuri,441,519,582
585601,Parnassus,318,342,360
585602,Cheviot,138,156,153
585700,Hurunui,876,927,963
585802,Amberley,387,498,594
585803,Leithfield,711,858,1005
585805,Sefton,156,189,204
585806,Okuku,129,153,195
585807,Loburn,372,498,693
585808,Ashley,234,285,351
586001,Camside,3,..C,3
586002,Pines-Kairaki Beach,207,228,159
586112,Waikuku,243,300,324
586114,Cust,132,156,162
586115,Mairaki,84,102,171
586120,Woodend,708,849,897
586121,Fernside,255,378,528
586122,Lehmans,33,93,576
586124,Pegasus,12,9,366
586126,Woodend Beach,99,117,129
586127,Coldstream,147,174,183
586128,Ravenswood,..C,6,..C
586129,Tuahiwi,255,315,357
586130,Woodend West,24,27,18
586303,Rangiora East,474,480,720
586304,Southbrook,195,240,258
586305,Kingsbury,555,702,804
586306,Rangiora North,957,1041,1065
586307,Rangiora West,660,816,942
586308,Rangiora Central,552,582,588
586403,Kaiapoi South,678,711,672
586404,Mansfield,627,672,663
586405,Courtenay,183,294,156
586407,Kaiapoi East,681,744,300
586408,Kaiapoi North West,384,399,405
586409,Kaiapoi North East,63,261,474
586501,Clarkville,240,279,327
586503,Kaiapoi West,324,321,324
586504,Silverstream,12,12,18
586603,Mandeville,423,600,807
586604,Ohoka,216,276,342
586605,West Eyreton,216,321,411
586606,Eyrewell,135,240,396
586801,Ashley Gorge,330,393,558
586802,Oxford,513,594,684
586900,Darfield,507,576,663
587010,Kirwee,795,966,1176
587020,Burnham Military Camp,249,240,177
587100,Malvern,864,999,1125
587302,Halswell South,633,747,747
587303,Oaklands West,747,792,774
587304,Oaklands East,1113,1161,1149
587400,Hornby North,945,1008,960
587500,Hornby South,1473,1545,1569
587701,Sockburn,1428,1476,1488
587702,Wigram,453,699,1050
587811,Yaldhurst,174,198,423
587812,Broomfield,729,768,837
587821,Paparua,93,114,108
587822,Templeton,507,531,600
587830,Islington,717,858,906
587842,Halswell West,108,144,156
587844,Westmorland,453,516,618
587845,Aidanfield,9,384,762
587846,Halswell Domain,54,408,537
587847,Hendersons Basin,180,201,189
587848,Prebbleton,237,576,711
587849,Trents-Ladbrooks,288,369,516
587902,Mcleans Island,69,72,69
587903,Kennedys Bush,126,144,213
587904,West Melton,1377,1680,2121
587905,Taitapu,129,132,189
588101,Redwood North,981,1224,1203
588102,Redwood South,723,825,816
588200,Styx Mill,729,936,921
588300,Casebrook,678,711,705
588401,Belfast South,66,801,1179
588402,Sawyers Arms,888,990,999
588500,Bishopdale North,1359,1431,1461
588600,Harewood,828,1029,1044
588700,Bishopdale,747,774,786
588800,Russley,849,915,987
588900,Burnside,681,705,681
589000,Wairarapa,567,588,579
589100,Jellie Park,666,687,690
589200,Bryndwr,870,912,864
589300,Holmwood,630,660,558
589400,Fendalton,849,867,834
589500,Deans Bush,471,498,465
589601,Hawthornden,939,1029,1017
589602,Merrin,480,495,489
589700,Westburn,810,849,843
589800,Avonhead West,876,927,933
589900,Avonhead,1068,1116,1089
590000,Ilam,885,936,903
590100,Upper Riccarton,549,558,582
590200,Wharenui,501,522,528
590300,Middleton,243,270,414
590400,Belfast,1074,1251,1353
590501,Travis Wetland,690,1257,1506
590504,Mairehau North,153,333,471
590505,Westhaven,567,729,723
590506,Highfield Park,258,267,255
590507,Prestons,63,66,114
590602,Parklands,1359,1425,1368
590603,Waimairi Beach,603,903,1002
590604,Styx,684,918,699
590701,Mona Vale,510,537,510
590702,Riccarton West,468,534,522
590800,Riccarton,444,492,465
590900,Riccarton South,105,99,99
591101,Cashmere West,954,999,942
591102,Cashmere East,1023,1203,1152
591200,Rapaki Track,483,525,420
591300,Heathcote Valley,555,657,639
591500,Cathedral Square,57,39,30
591600,Hagley Park,120,69,45
591700,Avon Loop,627,507,303
591800,Northcote,711,750,759
591900,Papanui,972,1014,999
592000,Aorangi,1590,1635,1617
592100,Strowan,1050,1101,1029
592200,Merivale,543,567,531
592300,Rutland,1443,1521,1482
592401,St Albans West,414,465,435
592402,St Albans East,930,945,837
592500,Mairehau,927,966,960
592600,Edgeware,582,612,549
592701,Shirley West,1095,1125,1119
592702,Shirley East,981,1008,972
592811,Burwood,885,942,342
592812,Dallington,1110,1146,585
592820,Travis,936,987,729
592900,Avondale,1392,1434,822
593000,Wainoni,849,897,780
593100,Aranui,1101,1188,969
593200,Richmond North,813,846,687
593300,Richmond South,483,456,318
593400,Avonside,888,915,492
593501,Linwood,603,573,486
593502,Phillipstown,732,741,684
593600,Linwood North,693,750,687
593700,Linwood East,534,588,567
593800,Bexley,1167,1299,711
593900,Bromley,723,786,750
594010,Woolston West,927,951,975
594020,Ferrymead,762,900,981
594100,Woolston South,678,696,678
594200,Ensors,954,924,912
594300,Opawa,1008,1053,942
594400,St Martins,1302,1407,1272
594500,Waltham,207,189,165
594600,Sydenham,1173,1173,1080
594700,Addington,528,531,510
594800,Barrington North,1476,1593,1587
594900,Barrington South,816,849,822
595000,Spreydon,975,1059,1044
595100,Hoon Hay,987,1014,999
595200,Hoon Hay South,663,699,696
595300,Hillmorton,1293,1359,1329
595400,Somerfield,1059,1158,1155
595500,Beckenham,738,771,786
595600,North Beach,1530,1590,1530
595700,Rawhiti,1359,1497,1113
595800,New Brighton,744,798,732
595900,South Brighton,1227,1233,1053
596000,Mt Pleasant,1350,1461,1098
596101,Avon-Heathcote Estuary,..C,..C,..C
596102,Moncks Bay,1134,1233,966
596200,Sumner,1131,1212,1050
596400,Lyttelton,1092,1170,1026
596502,Diamond Harbour,477,561,615
596503,Governors Bay,267,297,309
596504,Quail Island,..C,..C,..C
596600,Port Levy,33,33,33
596800,Akaroa,204,234,246
596901,Akaroa Harbour,255,291,312
596902,Banks Peninsula Eastern Bays,141,147,165
597101,Little River,330,378,414
597102,Inland Water-Lake Ellesmere South,..C,..C,..C
597200,Lincoln,552,774,1059
597300,Leeston,387,459,516
597400,Southbridge,225,246,294
597503,Dunsandel,132,153,156
597505,Inland Water-Lake Ellesmere North,..C,..C,..C
597506,Selwyn-Rakaia,990,1170,1320
597507,Rolleston North West,159,183,561
597508,Rolleston Central,261,735,948
597509,Rolleston North East,219,336,660
597510,Rolleston South West,63,132,561
597512,Springston,711,819,963
597513,Rolleston South East,138,165,189
597600,Methven,396,477,573
597712,Plains Railway,123,171,189
597713,Ashburton North,51,84,102
597714,Fairton,198,240,255
597715,Ashburton East,93,111,126
597720,Mt Somers,738,774,894
597730,Hinds,1086,1269,1539
597741,Chertsey,678,771,861
597742,Rakaia,318,363,435
597811,Allenton West,627,672,699
597812,Allenton East,1158,1344,1461
597820,Ashburton Central West,285,333,324
597830,Netherby,486,501,573
597840,Ashburton Central East,465,516,543
597850,Hampstead,738,828,879
597860,Tinwald,915,1044,1107
598000,Winchester,96,99,102
598201,Fairview-Scarborough,159,180,195
598202,Otipua Creek-Washdyke Flat,162,228,243
598311,Ben Mcleod,18,21,27
598312,Orari,1242,1434,1674
598313,Levels,1044,1245,1353
598314,Pareora,153,153,153
598320,Pleasant Point,399,441,471
598500,Geraldine,801,855,927
598600,Temuka,1332,1458,1524
598700,Washdyke,324,330,336
598800,Waimataitai,411,423,429
598900,Marchwiel,1257,1377,1383
599000,Maori Park,258,273,270
599100,Highfield,1101,1137,1155
599200,Glenwood,585,606,609
599300,Gleniti,639,729,801
599400,Fraser Park,894,936,945
599500,Seaview,639,666,639
599600,Watlington,717,756,759
599700,Parkside,738,771,756
599800,Timaru Gardens,540,543,555
599900,Redruth,27,30,24
600100,Twizel Community,405,429,441
600200,Fairlie,261,279,282
600312,Mt Cook,27,21,27
600320,Lake Tekapo,93,102,114
600321,Inland Water-Lake Alexandrina,..C,..C,..C
600322,Inland Water-Lake Tekapo,..C,..C,..C
600323,Mackenzie,459,516,591
600410,Waihao,1395,1518,1632
600420,St Andrews,63,63,66
600500,Waimate,1041,1119,1110
600822,Duntroon,39,39,33
600824,Kurow,138,147,141
600827,Omarama,96,93,99
600830,Otematata,84,93,93
600831,Aviemore,195,228,258
600832,Inland Water-Lake Ohau,..C,..C,..C
623806,Oceanic-Canterbury Region North,..C,..C,..C
625101,Inlet-Port Lyttelton,..C,..C,..C
625102,Inlets-Banks Peninsula Bays,..C,..C,..C
625103,Oceanic-Canterbury Region South,..C,..C,0
625300,Inlet-Port Timaru,..C,..C,..C