au_id_2006,au_name_2006,separate_house_1996,separate_house 2001,separate_house_2006
600600,Weston,258,255,276
600811,Pukeuri,78,69,72
600812,Ardgowan,156,156,177
600813,Cape Wanbrow,78,75,96
600826,Maheno,1323,1224,1332
600828,Kakanui,168,156,171
600840,Hampden,141,120,132
601010,Oamaru North,1128,1041,1125
601020,Orana Park,975,867,921
601030,Oamaru Central,1011,900,972
601040,Oamaru South,1131,1047,1125
601200,Palmerston,330,294,315
601301,Waihemo,273,231,252
601302,Hyde,27,24,27
601400,Waikouaiti,450,414,453
601500,Aramoana,108,102,102
601602,Waitati,192,162,189
601603,Evansdale,402,360,432
601604,Karitane,186,156,150
601605,Warrington,165,156,168
601700,Nenthorn,36,30,39
601900,Fairfield,693,663,774
602000,Brighton,546,504,549
602100,Waldronville,192,186,195
602200,Outram,204,201,234
602300,Middlemarch,75,60,54
602411,Wyllies Crossing,90,87,90
602412,Wingatui,303,294,345
602421,Kaikorai Hill,108,138,165
602422,Saddle Hill,141,156,216
602500,Taieri,783,759,885
602600,Strath Taieri,156,144,147
602800,Harbourside,3,0,3
602900,Fernhill,213,198,201
603000,High St-Stuart St,426,393,396
603100,Stuart St-Frederick St,297,270,258
603210,Opoho,447,435,429
603220,Forrester Park,294,294,300
603300,North East Valley,1278,1182,1215
603400,Pine Hill,807,765,807
603500,Woodhaugh,213,210,210
603601,North Dunedin,384,300,345
603602,Otago University,537,432,408
603710,Maori Hill,663,630,639
603720,Balmacewen,246,234,240
603810,Glenleith,213,207,231
603820,Helensburgh,363,330,360
603910,Wakari,1071,1026,1056
603920,Halfway Bush,657,630,651
603930,Brockville,1065,1017,1080
604010,Roslyn North,513,501,513
604020,Roslyn South,762,735,771
604110,Mornington,1149,1101,1128
604120,Belleknowes,570,543,561
604130,Kenmure,654,636,666
604210,Caversham,1674,1551,1584
604221,Corstorphine West,189,156,183
604222,Corstorphine East,330,288,297
604300,Caledonian,..C,..C,..C
604410,South Dunedin,711,645,687
604420,Forbury,342,291,321
604500,St Clair,1311,1203,1254
604611,Musselburgh,933,870,897
604612,Andersons Bay,846,834,861
604620,Vauxhall,1353,1329,1368
604710,St Leonards-Blanket Bay,267,261,276
604720,Ravensbourne,489,441,483
604810,Inner Peninsula,330,297,336
604821,Company Bay,81,78,102
604822,Macandrew Bay,435,417,423
604830,Broad Bay-Portobello,411,387,426
604901,Taiaroa-Cape Saunders,228,183,207
604902,Sandymount,54,60,66
605100,Sawyers Bay,456,438,453
605200,Port Chalmers,507,462,483
605400,St Kilda West,627,579,606
605500,St Kilda Central,507,474,534
605600,St Kilda East,723,684,714
605800,Green Island,828,807,864
605910,Abbotsford,603,594,600
605920,Concord,723,672,693
606100,Mosgiel East,1017,1032,1143
606210,Mosgiel South,783,759,813
606220,East Taieri,432,420,468
606300,Bush Road,798,780,831
606500,Benhar,42,42,36
606600,Stirling,114,99,114
606700,Bruce,939,846,930
606800,Milton,720,657,663
606900,Kaitangata,339,279,306
607000,Clinton,123,105,105
607100,Kaka Point,114,93,93
607200,Owaka,132,123,126
607300,Clutha,1134,1020,1110
607400,Balclutha,1446,1344,1401
607501,Teviot,435,366,405
607502,Tuapeka,669,576,624
607600,Tapanui,315,282,288
607700,Lawrence,186,162,177
607800,Roxburgh,264,225,231
607900,Ranfurly,300,258,285
608000,Maniototo,378,339,372
608100,Naseby,42,39,57
608302,Dunstan,996,1005,1317
608303,Clyde,309,303,360
608304,Hawea,315,360,567
608305,Inland Water-Lake Hawea,..C,..C,..C
608500,Alexandra,1503,1440,1662
608600,Cromwell,915,885,1215
608700,Frankton,276,321,375
608800,Wanaka,891,1050,1725
609012,Glenorchy,120,129,177
609022,Kelvin Heights,255,264,327
609023,Sunshine Bay,273,288,348
609026,Wakatipu,408,483,831
609027,Inland Water-Lake Wakatipu,..C,..C,..C
609028,Lake Hayes,69,57,87
609029,Matukituki,78,87,132
609030,Inland Water-Lake Wanaka,..C,..C,..C
609200,Arrowtown,513,504,732
609301,Queenstown Bay,330,324,357
609302,Queenstown Hill,408,405,504
625800,Inlet-Otago Harbour,..C,..C,0
625901,Inlet-Dunedin City Bays,..C,..C,0
625902,Oceanic-Otago Region,..C,..C,..C
626000,Inlet-Port Oamaru,..C,..C,..C
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,